event,popular,distance,male_wr,female_wr,my_pb,男二级,女二级,男三级,女三级
100 m,True,100,00:00:09.58,00:00:10.49,00:00:13.00,00:00:11.74,00:00:13.04,00:00:12.64,00:00:14.04
200 m,True,200,00:00:19.19,00:00:21.34,00:00:27.00,00:00:23.84,00:00:27.00,00:00:25.74,00:00:29.24
400 m,True,400,00:00:43.03,00:00:47.60,00:01:09.00,00:00:53.14,00:01:03.00,00:00:56.64,00:01:08.00
800 m,True,800,00:01:40.91,00:01:53.28,00:02:48.00,00:02:03.00,00:02:26.00,00:02:16.00,00:02:38.00
1000 m,False,1000,00:02:11.96,00:02:28.98,00:03:35.00,,,,
1500 m,True,1500,00:03:26.00,00:03:49.04,00:05:58.00,00:04:15.00,00:05:05.00,00:04:40.00,00:05:30.00
mile,False,1609.344,00:03:43.13,00:04:07.64,,,,,
2000 m,False,2000,00:04:44.79,00:05:19.70,00:08:36.00,,,,
3000 m,False,3000,00:07:20.67,00:08:06.11,00:13:30.00,00:09:10.00,00:11:00.00,00:10:05.00,00:12:00.00
5000 m,True,5000,00:12:35.36,00:14:00.21,00:23:50.00,00:16:10.00,00:20:00.00,00:17:40.00,00:23:00.00
10000 m,True,10000,00:26:11.00,00:28:54.14,,00:34:00.00,00:42:00.00,00:37:00.00,00:48:00.00
half marathon,True,21097.5,00:57:31.00,01:02:52.00,,,,,
marathon,True,42195,02:00:35.00,02:11:53.00,,03:10:00.00,03:50:00.00,04:00:00.00,04:10:00.00
50 km,False,50000,02:38:43.00,02:59:54.00,,,,,
100 km,False,100000,06:05:35.00,06:33:11.00,,,,,
